first_name,last_name,email,Пароль,phone_number,address,position,department,start_date,salary
Семен,Романенко,alina25@i.ua,Qe0tdl4YiH,+380 73 754-19-89,місто Глухів,Менеджер,Маркетинг,25.08.2020,20719
Данна,Франчук,smasliak@outlook.com,vbhVfFrA1N,+380 50 979-43-25,селище Скалат,HR,Фінанси,29.07.2023,37572
Дарина,Фурс,yredko@mail.ua,zYMfZWNHk8,+380 99 748-02-32,селище Сніжне,Менеджер,Маркетинг,04.10.2023,45458
Омелян,Рябошапка,kybkalostepan@outlook.com,0MjBj0k9Xw,+380 67 665-36-17,хутір Генічеськ,HR,HR,11.07.2020,22183
Богданна,Алексійчук,tetianakolodub@yahoo.com,rbntR90OCj,+380 95 991-20-51,селище Новогродівка,Дизайнер,Розробка,20.08.2020,26392
Ярина,Бевз,qzhalilo@i.ua,278OlnS8q5,+380 99 269-37-30,село Новодружеськ,Дизайнер,Розробка,21.06.2023,48802
Тарас,Онуфрієнко,mariana82@outlook.com,N8iDLEKNyS,+380 67 870-83-62,хутір Городенка,Аналітик,IT,20.04.2022,33329
Соломон,Дейнеко,tsymbalokhrim@meta.ua,s3qO4QzK1W,+380 97 219-55-55,хутір Коломия,Аналітик,Продажі,07.05.2023,31355
Федір,Савенко,makohonmykhailo@outlook.com,nFQ$PCT3xS,+380 98 891-64-89,село Мала Виска,Тестувальник,IT,12.07.2024,36770
Пилип,Яремко,boleslav64@meta.ua,45qUBbHuCR,+380 99 552-54-92,хутір Кропивницький,Менеджер,IT,08.05.2022,33864
Аркадій,Юрчук,hlibiatsenko@meta.ua,tVJqzypCV6,+380 66 631-04-00,селище Покров,Дизайнер,Продажі,01.10.2023,30303
Костянтин,Тарасенко,huziidanylo@gmail.com,h6k1kLEUal,+380 67 272-42-54,село Люботин,Тестувальник,Розробка,20.12.2020,34313
Станіслав,Рева,vasyl01@yahoo.com,g1YYEF3IwT,+380 50 297-06-46,селище Тячів,HR,Розробка,05.01.2024,15049
Яків,Акименко,azarvitruk@meta.ua,7HKty(qhXf,+380 96 582-69-79,село Біла Церква,HR,HR,09.04.2021,38042
Дарина,Бабійчук,wruban@outlook.com,f3XQHTdbPR,+380 96 193-60-47,село Соснівка,HR,Фінанси,02.10.2022,49850
Гаврило,Скопенко,solomonhavrysh@outlook.com,TnNcBJxosX,+380 67 961-15-91,село Каховка,Розробник,Продажі,11.09.2020,25437
Амалія,Єрченко,dzasukha@yahoo.com,IxBXykNFf3,+380 96 922-47-44,місто Глобине,Дизайнер,IT,17.03.2020,19453
Максим,Девдюк,uonufriienko@meta.ua,OY21Hj8HYq,+380 50 706-30-78,селище Привілля,Менеджер,IT,12.05.2023,49295
Зиновій,Атаманчук,makarperepelytsia@outlook.com,CzBJNUVYfC,+380 95 854-00-86,селище Херсон,Аналітик,Фінанси,21.09.2022,38869
Лесь,Цимбалюк,opanasenkoprokhir@ukr.net,uAxxwLUyDL,+380 99 422-02-11,село Білогірськ,Аналітик,Маркетинг,21.10.2021,34502
Лукʼян,Гоголь-Яновський,stepan71@ukr.net,AKiXptHFVp,+380 66 914-69-40,місто Заліщики,Аналітик,Маркетинг,21.07.2024,42642
Мілена,Жарко,irena91@yahoo.com,vTkulW8lGA,+380 96 460-96-00,хутір Вашківці,Аналітик,Маркетинг,19.02.2021,39927
Стефан,Тригуб,sliusarielysaveta@gmail.com,s2BOePOTh3,+380 66 121-86-37,хутір Ржищів,Розробник,Розробка,23.12.2023,43565
Руслан,Дубина,kyrylokabanenko@yahoo.com,aNTb4RF3r4,+380 93 159-98-15,селище Нова Каховка,Менеджер,Фінанси,05.06.2023,38019
Демид,Базилевський,esirchenko@outlook.com,PbX7P5zlTB,+380 95 518-48-07,селище Ізяслав,Аналітик,HR,30.04.2021,19353
Марко,Шиян,eiefymenko@yahoo.com,Ppk3XRUf0e,+380 96 791-91-23,селище Берестин,Аналітик,Фінанси,08.08.2023,17936
Богдан,Іващенко,larysacherednyk@meta.ua,U2S0Cdytl4,+380 99 240-76-85,село Вараш,Розробник,Розробка,06.09.2023,42533
Борислав,Єрмоленко,ielysei99@gmail.com,4CcuOpkpiw,+380 93 770-29-47,селище Тростянець,Аналітик,Продажі,23.05.2021,32088
Євген,Талан,tetianagalagan@i.ua,caD7EwzmYR,+380 67 486-72-88,хутір Чуднів,Тестувальник,Продажі,16.09.2021,18078
Розалія,Атрощенко,korbutielysaveta@gmail.com,atJ1Icb5hE,+380 95 944-45-66,місто Остер,Дизайнер,IT,12.07.2022,34552
Єфрем,Рудько,chekaliukrostyslav@gmail.com,VlBmhSyoGl,+380 98 143-94-66,хутір Молочанськ,Тестувальник,IT,10.11.2022,28025
Софія,Джус,daniukhymenko@outlook.com,nh4YBjDnhE,+380 67 750-91-84,місто Кам'янка (Черкаська область),Менеджер,Маркетинг,25.02.2021,24904
Назар,Закусило,fastenkovira@ukr.net,atzBbSixex,+380 50 732-46-85,хутір Новгород-Сіверський,Дизайнер,Продажі,16.01.2020,24085
Дан,Шморгун,panas24@outlook.com,P0pvbRwwWp,+380 66 479-26-84,селище Хорол,Аналітик,HR,23.05.2024,25628
Орися,Щорс,akymenkomykhailo@i.ua,5l#wR6RwOt,+380 98 946-83-83,хутір Буськ,Тестувальник,Продажі,04.07.2024,42678
Йосип,Козаченко,leslaba@i.ua,zIdFo1s7z1,+380 93 542-75-37,хутір Заставна,Тестувальник,Фінанси,27.02.2023,45917
Олена,Даценко,khrystychfedir@gmail.com,I4nJKKqkLA,+380 99 686-24-51,село Дергачі,Аналітик,Фінанси,15.01.2024,19033
Федір,Ґалаґан,khoma79@yahoo.com,YOOUXWiWJs,+380 97 114-10-93,місто Галич,Менеджер,Продажі,12.10.2020,18621
Максим,Ґоляш,opanas10@meta.ua,vtT86u!WW5,+380 95 554-26-78,село Вашківці,HR,IT,11.10.2022,37297
Святослав,Цісик,akulenkomilena@ukr.net,X4yIxS3zwZ,+380 98 734-59-57,хутір Мирноград,Розробник,Фінанси,17.04.2024,47396
Олена,Арсенич,davydkharchenko@mail.ua,tdo5qKOrxT,+380 93 310-25-05,село Кілія,Розробник,Продажі,01.06.2024,21733
Віра,Гавришкевич,bohodarandroshchuk@outlook.com,Fv9uA2Rfbf,+380 93 288-03-03,селище Люботин,Дизайнер,Продажі,01.08.2021,20844
Аліна,Романенко,tsymbaliukprokhir@yahoo.com,7OIgXmEQTD,+380 66 485-76-31,хутір Новодністровськ,HR,Маркетинг,17.05.2024,20890
Гаврило,Іваненко,ovakhnii@yahoo.com,X4jpeoqCbu,+380 66 408-04-17,село Тараща,HR,IT,14.01.2022,36673
Арсен,Панчук,alevtyn76@ukr.net,0GpRCwjnyn,+380 50 847-45-56,місто Теребовля,Тестувальник,Розробка,03.07.2023,39201
Трохим,Пустовіт,konoplenkodanylo@outlook.com,RL&rgod8be,+380 93 736-55-76,місто Сватове,Аналітик,Фінанси,18.11.2021,34922
Аркадій,Вернигора,upryimak@yahoo.com,E4YVCLYbBH,+380 66 133-37-87,селище Новоазовськ,HR,Фінанси,16.04.2021,49307
Варфоломій,Василечко,charnyshfedir@mail.ua,yJCI5HjpBc,+380 93 153-98-72,село Біляївка,Тестувальник,Продажі,24.08.2021,21414
Емілія,Корсун,andrusenkokhrystyna@gmail.com,kWqSapgvgH,+380 95 705-02-45,селище Красилів,Тестувальник,IT,03.11.2022,42944
Пилип,Зайченко,kamillaatroshchenko@ukr.net,L3X833Q4eg,+380 66 507-17-03,хутір Кролевець,Менеджер,Розробка,19.10.2020,44453
Ірина,Шамрай,babychsviatoslava@ukr.net,c2XtJ!PYMX,+380 96 812-81-83,селище Саки,Розробник,Розробка,23.11.2020,48641
Дарина,Макаренко,solomon38@gmail.com,!LVcCvXjd2,+380 67 650-48-02,селище Почаїв,Аналітик,Розробка,03.02.2024,37243
Владислав,Рябошапка,sverhun@ukr.net,6jdeBc9eHY,+380 50 599-90-36,селище Долинська,Менеджер,Продажі,02.07.2021,33657
Маруся,Верес,sofiia18@ukr.net,kNrqwMWb1e,+380 98 339-10-64,село Нікополь,Менеджер,HR,11.09.2024,47518
Ростислав,Самойленко,mykhailyna38@outlook.com,4bCUEq99uh,+380 98 518-02-23,село Вільногірськ,Тестувальник,Розробка,02.08.2024,22973
Лукʼян,Швачко,stefanprytula@i.ua,VJhLoUvCun,+380 98 163-17-19,хутір Зміїв,Розробник,Розробка,12.02.2023,27754
Вікторія,Скорик,zatulaodarka@outlook.com,Q^d1KlVF7j,+380 93 334-55-46,селище Великі Мости,Розробник,Розробка,28.11.2019,18730
Богуслав,Даценко,oleksa15@gmail.com,zouj3keG8V,+380 98 876-63-20,село Конотоп,Аналітик,IT,03.09.2023,47650
Марта,Бабко,violetta25@yahoo.com,SWIEVt19yF,+380 50 946-75-17,місто Ромни,HR,Маркетинг,14.02.2022,34008
Аліна,Назаренко,mgerega@meta.ua,gW7gA#j9iS,+380 97 241-44-12,хутір Бобринець,Дизайнер,Розробка,17.10.2020,22442
Леон,Шахрай,bohdan68@mail.ua,qSE9TVBvfh,+380 66 453-89-74,місто Старий Самбір,Дизайнер,IT,30.07.2023,28847
Марко,Гуцуляк,nartiukh@outlook.com,BIl1hL0sMk,+380 50 363-41-38,село Дубровиця,Розробник,HR,15.06.2024,39723
Устим,Мірошниченко,vartym@gmail.com,7GjCWzZIqN,+380 98 965-78-17,село Олександрія,Розробник,Маркетинг,24.11.2019,25166
Онисим,Деревʼянко,iukhymirvanets@ukr.net,GnnXv2Jdq4,+380 66 828-32-93,село Городенка,Менеджер,Маркетинг,10.01.2020,40096
Станіслав,Козак,barannykiaroslav@yahoo.com,WYghxVitib,+380 50 691-17-70,хутір Соледар,Тестувальник,Розробка,14.04.2024,31335
Єлисей,Акименко,aleksiichukmaryna@mail.ua,hukxtmb3$h,+380 50 890-81-06,місто Горлівка,Дизайнер,Маркетинг,29.04.2021,31391
Оксенія,Оніщук,revapriska@ukr.net,KoKOEL27Df,+380 96 645-62-21,місто Макіївка,Розробник,HR,29.06.2021,34410
Стефан,Гречко,volodymyrapanchuk@ukr.net,JrCGLVQBBU,+380 66 193-75-44,село Рудки,Дизайнер,Маркетинг,28.01.2020,38223
Андрій,Лукаш,ubabii@i.ua,dYwT86o7ef,+380 95 856-96-03,місто Коростишів,Менеджер,HR,31.05.2022,18760
Варвара,Орлик,ekyrylenko@meta.ua,SsmLXAznDx,+380 96 862-33-47,місто Путивль,HR,Продажі,10.04.2024,33816
Данна,Заїка,vmishchenko@gmail.com,YgTHrZ3ZVC,+380 97 556-06-44,хутір Апостолове,Дизайнер,Маркетинг,13.02.2023,48745
Алла,Засенко,virazaika@outlook.com,EaOYfmik0l,+380 98 332-01-05,хутір Нова Одеса,Розробник,Фінанси,19.02.2021,40499
Богодар,Петрик,cherinkoorysia@yahoo.com,ctuNLtCklt,+380 93 580-58-35,село Київ,HR,Фінанси,09.03.2023,39322
Дмитро,Пустовіт,orkhyp67@ukr.net,BuA0LhjCWK,+380 73 911-62-80,село Городенка,Менеджер,HR,27.10.2020,23528
Соломія,Москаль,iustym36@i.ua,2jaF52BTPA,+380 93 818-57-33,село Каховка,Аналітик,Продажі,24.07.2020,23603
Алла,Вівчаренко,ihnat25@i.ua,rmZrrXM8Lk,+380 73 539-26-46,місто Глобине,Дизайнер,Продажі,15.08.2021,39615
Михайло,Коваленко,panashunko@gmail.com,9w4h!RsXc6,+380 50 447-64-48,село Новгород-Сіверський,Менеджер,Маркетинг,17.09.2022,23590
Ярослав,Зінченко,panas49@gmail.com,Lx9SR7ay9i,+380 98 643-32-37,місто Зіньків,Тестувальник,HR,29.11.2022,34490
Мирон,Артюх,zharkokyrylo@outlook.com,Aw7UQ9TSu0,+380 95 241-98-32,місто Путивль,Тестувальник,IT,24.11.2019,34124
Стефан,Юрчишин,pavlychenkovadym@i.ua,8Vgh9GP4*9,+380 97 242-42-80,хутір Винники,Менеджер,Маркетинг,10.11.2022,46412
Теодор,Бабій,sheremetaoryna@meta.ua,L8onOZBu00,+380 67 408-42-68,хутір Підгородне,Дизайнер,HR,21.12.2022,38075
Онисим,Джус,bohodarzatovkaniuk@gmail.com,s5f2pLX0bC,+380 93 443-68-96,хутір Одеса,HR,HR,12.10.2020,22194
Святослава,Лесик,karmaliukoleksandr@meta.ua,fEte6aXpHw,+380 67 570-45-37,селище Мелітополь,Дизайнер,HR,02.07.2020,28139
Дарина,Романчук,eshtepa@ukr.net,87yAGUAp6S,+380 95 283-58-25,місто Березівка,HR,Продажі,06.04.2023,16576
Франц,Кальченко,iaroslav81@ukr.net,LblvoQADSy,+380 67 488-49-38,місто Гайсин,Розробник,HR,19.11.2020,16520
Тетяна,Саєнко,vasylynaavdieienko@ukr.net,Bgar!34NWh,+380 95 116-46-10,село Дніпро,Розробник,Маркетинг,09.08.2022,21566
Григорій,Бакуменко,miefymenko@mail.ua,ml9HNrSXQE,+380 99 108-43-32,місто Дружківка,Розробник,Розробка,18.03.2023,23542
Пантелеймон,Щириця,darynadutka@mail.ua,WO70Fohtja,+380 93 850-33-56,хутір Галич,HR,Продажі,07.08.2022,22038
Руслан,Авдєєнко,vitaliilesyk@gmail.com,d5hzKcb67J,+380 97 448-17-29,селище Черкаси,HR,Фінанси,24.11.2020,16188
Аніта,Величко,okhrim70@mail.ua,Y45NNT1iwj,+380 66 182-63-37,місто Новодружеськ,Дизайнер,HR,04.11.2023,28559
Георгій,Полтавець,dmytro60@yahoo.com,lbxKATpUUq,+380 50 428-24-10,місто Гадяч,Тестувальник,Продажі,12.09.2020,15197
Євген,Бабенко,boryslav53@outlook.com,8U1lxBpXx7,+380 93 283-74-53,хутір Білгород-Дністровський,Розробник,IT,09.06.2020,26653
Оксана,Кабаненко,ehodunok@mail.ua,ZZ3XcTVwDX,+380 98 923-85-72,хутір Монастириська,Дизайнер,Маркетинг,03.04.2022,30371
Йосип,Шутько,yveres@i.ua,hJs8j9IGNX,+380 98 490-45-30,місто Горішні Плавні,Менеджер,Маркетинг,01.10.2021,34148
Маруся,Малик,larysa01@i.ua,2kXvaUowTm,+380 93 951-35-77,селище Підгайці,Тестувальник,IT,19.10.2021,34978
Аніта,Авдєєнко,vasylechkozorian@mail.ua,wq0ksFEx68,+380 66 543-53-90,село Рубіжне,Дизайнер,Маркетинг,19.06.2020,48548
Богуслав,Артим,kovaliukhavrylo@meta.ua,pbrlOXKoiU,+380 97 265-78-23,місто Дубно,Тестувальник,Фінанси,29.06.2021,30357
Петро,Гресь,alekseienkopavlo@meta.ua,BvaI0L3yhC,+380 93 878-87-50,селище Мостиська,HR,Розробка,01.09.2020,37131
Володимира,Ватаманюк,spavlychenko@ukr.net,oemVQwJryj,+380 67 350-02-89,село Вільногірськ,Менеджер,IT,23.02.2023,43133
Оксенія,Примаченко,vtalan@ukr.net,jSnGKCkMms,+380 67 661-63-14,місто Боярка,Розробник,IT,05.01.2024,25278
Гаврило,Гузій,gerusmyroslav@outlook.com,L1fEe7nb5t,+380 73 396-27-09,селище Святогірськ,Розробник,Розробка,19.05.2020,41773
Ярина,Лазаренко,irena32@ukr.net,4CfLY8Jv5n,+380 99 844-23-51,селище Харцизьк,Розробник,Розробка,22.01.2022,34159
Надія,Яремчук,andriiovycholeh@gmail.com,65IZLYH3vJ,+380 98 340-51-13,селище Почаїв,HR,Продажі,20.12.2020,46321
Юхим,Симоненко,ihor27@i.ua,Wjm9oyAsVd,+380 98 129-31-98,місто Миколаїв,Дизайнер,Розробка,15.06.2020,25888
Спас,Теліженко,liubov85@yahoo.com,vd0swnYQtp,+380 99 141-18-49,селище Радехів,Розробник,Фінанси,23.10.2022,29774
Іван,Бевзенко,protsenkobohuslav@meta.ua,^5KJHXIn84,+380 96 939-74-21,селище Сміла,Дизайнер,Фінанси,28.02.2023,24778
Олекса,Карпенко,makarenkosofiia@meta.ua,twFHIHSKMM,+380 97 902-56-55,місто Вовчанськ,HR,IT,30.05.2022,41166
Геннадій,Єрьоменко,danylo11@outlook.com,t4YRuy0IHi,+380 96 963-60-52,хутір Новий Розділ,Тестувальник,Фінанси,21.10.2021,39539
Олександр,Приходько,viacheslavtaran@mail.ua,CGHN8o7r1t,+380 66 880-91-77,селище Тульчин,Дизайнер,Розробка,15.09.2021,16562
Єва,Пелех,babiakanastasiia@ukr.net,3gp58RGIHD,+380 96 273-88-67,село Благовіщенське,HR,IT,11.12.2022,25597
Руслан,Андрійчук,ivashchenkoserhii@mail.ua,f9VOe8c2fU,+380 98 743-57-08,хутір Сторожинець,Розробник,Маркетинг,12.05.2020,17110
Ліза,Забіла,myron22@outlook.com,rY28HrrgGq,+380 95 250-42-45,місто Монастирище,Дизайнер,Продажі,25.06.2020,24248
Юхим,Тесленко,pryimakomelian@i.ua,YnUq6rQ2KW,+380 96 353-95-08,місто Самар,Аналітик,Маркетинг,14.09.2023,29536
Артем,Москаль,haidamakamilena@gmail.com,tpYbLX650R,+380 67 825-93-69,селище Бровари,HR,IT,03.12.2019,15985
Ліза,Базавлученко,mykhailynatereshchenko@gmail.com,78HDybcXRV,+380 96 378-15-58,селище Білгород-Дністровський,Менеджер,IT,08.01.2020,20023
Веніямин,Шухевич,pylyp28@yahoo.com,Db08Iz1zAg,+380 50 518-85-48,село Снігурівка,Менеджер,IT,19.08.2022,30832
Вʼячеслав,Кибкало,albinariabovil@yahoo.com,0lOjECK69D,+380 97 518-54-71,село Хирів,Тестувальник,Розробка,10.07.2021,47189
Вʼячеслав,Баклан,markovasylevych@yahoo.com,wWKo41AXO8,+380 98 430-85-92,місто Золотоноша,Менеджер,Фінанси,18.07.2020,17529
Прохір,Ніколюк,lizashtokalo@outlook.com,BdqCg8ChWM,+380 73 877-02-49,місто Зміїв,Дизайнер,Розробка,01.02.2021,24846
Олесь,Ребрик,amvrosiiiashchenko@outlook.com,nzRApjW45n,+380 93 138-13-68,селище Конотоп,HR,IT,13.11.2022,41715
Олег,Бебешко,ustym08@meta.ua,pUaQE3HMVc,+380 99 773-11-13,село Карлівка,Менеджер,Розробка,23.12.2022,33027
Левко,Ємець,prokhirlupii@outlook.com,YMr6Gx56*o,+380 99 451-23-40,селище Шумськ,Менеджер,Маркетинг,17.09.2024,34731
Георгій,Батуринець,stepanbabak@ukr.net,rMQcqys6Rx,+380 95 608-64-19,селище Чигирин,Тестувальник,Продажі,14.11.2021,21923
Ірина,Закусило,roksolanabezborodko@mail.ua,uA24lmR^Nt,+380 97 385-98-86,місто Краматорськ,Тестувальник,HR,02.08.2020,33398
Назар,Ярош,fiatsenko@meta.ua,716Ew69x0R,+380 50 639-30-77,хутір Новодружеськ,Менеджер,Продажі,26.05.2023,22836
Вадим,Вернигора,adamenkosolomon@mail.ua,kyjaRElEcw,+380 66 733-03-07,селище Боково-Хрустальне,Тестувальник,HR,06.10.2021,30699
Амвросій,Ірванець,demianivanenko@gmail.com,Sv4E)X4ohf,+380 98 439-62-13,село Броди,Розробник,Маркетинг,01.10.2023,40418
Остап,Архипенко,xatamaniuk@outlook.com,bAnXvmDXQ2,+380 99 141-04-81,селище Костянтинівка,Розробник,HR,02.07.2022,29647
Софія,Туркало,zynoviiromanchuk@gmail.com,FTDE@ULZ7B,+380 99 116-95-65,хутір Бахчисарай,Розробник,Маркетинг,25.05.2023,16901
Софія,Кащенко,tsymbalmartyn@i.ua,YeeIV0HBuV,+380 50 820-31-33,хутір Таврійськ,Розробник,Розробка,14.10.2020,45213
Антон,Франко,tetianakhorishko@gmail.com,XxCy7yPdwn,+380 50 568-50-68,місто Жовква,HR,IT,17.12.2022,47072
Назар,Негода,chuprynales@meta.ua,uaxd78F0za,+380 50 255-48-07,селище Славута,Менеджер,Продажі,21.09.2021,25249
Єва,Бабенко,ihnat98@ukr.net,J2mo3Ld4ox,+380 67 955-17-63,хутір Новий Розділ,HR,Продажі,30.05.2023,42812
Тереза,Бабко,aronetstrokhym@yahoo.com,vxudU1hT4b,+380 95 766-89-06,селище Ірпінь,Аналітик,Розробка,29.01.2024,42180
Аврелій,Стець,iosypvlasiuk@outlook.com,dFA2CiZS4y,+380 95 426-29-83,місто Вашківці,Тестувальник,Розробка,22.12.2020,35906
Едита,Гайдамака,bohdan02@meta.ua,bsjaki4oym,+380 96 345-40-28,село Середина-Буда,Дизайнер,Продажі,13.02.2024,15460
Спас,Фартушняк,ytsymbal@ukr.net,BaviBI2p6U,+380 97 396-93-47,місто Путивль,Тестувальник,Продажі,12.04.2023,46830
Віра,Гунько,vasylyna22@meta.ua,1ocdlfxIWD,+380 66 707-40-54,місто Енергодар,Дизайнер,Продажі,27.08.2023,32969
Тарас,Піддубна,kamilla84@mail.ua,sTqK14RVHM,+380 50 522-00-55,місто Кипуче,Аналітик,Маркетинг,19.11.2023,32328
Еріка,Ковалюк,tovstukhabohdan@meta.ua,It9qRSz2oo,+380 98 681-50-12,селище Кіцмань,Дизайнер,Маркетинг,08.08.2021,29527
Станіслав,Скоробогатько,riaremchuk@i.ua,t7uL5LjPww,+380 73 500-83-99,селище Рогатин,Дизайнер,Маркетинг,25.09.2024,49768
Лукʼян,Засенко,tarashavryliv@ukr.net,P6DKDheD6y,+380 50 580-09-34,місто Вишневе,Дизайнер,IT,06.10.2023,19287
Варфоломій,Атаманюк,hrechanykkamilla@yahoo.com,vXzQViiZy$,+380 97 562-74-43,хутір Канів,Аналітик,Маркетинг,24.10.2020,49497
Розалія,Дурдинець,zverkhovynets@outlook.com,mJuAt6BWzs,+380 67 355-05-97,селище Гнівань,Менеджер,IT,19.10.2021,38972
Григорій,Верменич,dpustovit@ukr.net,CJ7fOz6iUc,+380 50 130-86-70,місто Дубляни,Менеджер,Розробка,20.01.2024,35698
Христина,Таран,mykhailynapiatachenko@ukr.net,zkfXQfpX1o,+380 97 332-12-26,хутір Біла Церква,Аналітик,Маркетинг,28.12.2022,44594
Герман,Асаула,nataliiaiesypenko@i.ua,5uu0BFnod4,+380 95 986-16-14,селище Карлівка,Дизайнер,Маркетинг,25.02.2024,33906
Левко,Балабан,kadeniukhanna@i.ua,CMANtL5nlQ,+380 50 205-64-75,село Перещепине,Аналітик,HR,17.03.2022,38625
Єлисей,Ярема,markobairak@ukr.net,f7r3Wa0eMZ,+380 73 944-40-72,село Теребовля,Аналітик,Фінанси,05.01.2023,33662
Олекса,Каденюк,kvlokh@i.ua,XxhfjS9Vzx,+380 93 754-01-40,селище Корець,Розробник,Продажі,05.10.2023,38656
Трохим,Бевз,irynamykhailychenko@ukr.net,oNgCQhlq7c,+380 93 156-05-67,місто Чугуїв,Аналітик,IT,28.03.2022,44270
Герман,Журба,oleksandr00@gmail.com,KaiuWD8qlY,+380 97 471-51-11,хутір Хрустальний,Тестувальник,Маркетинг,29.10.2020,43348
Хома,Журавель,lahodaroman@ukr.net,8MTZhK64RE,+380 93 466-76-83,хутір Зеленодольськ,HR,Продажі,04.01.2022,24218
Ольга,Андрощук,liemelianenko@mail.ua,4FIOmDxD9F,+380 73 973-87-22,селище Алупка,Менеджер,HR,27.08.2022,46476
Валерій,Цимбал,uaverchenko@i.ua,I7uRaQUE2v,+380 93 685-39-60,місто Баштанка,Тестувальник,HR,03.02.2022,17833
Лукʼян,Литвин,maryna18@ukr.net,niYGinUjtY,+380 97 946-79-27,хутір Златопіль,HR,Маркетинг,29.01.2021,29288
Єлисей,Вакарчук,kderhach@meta.ua,SK8Pukwqqu,+380 67 609-19-45,село Харків,Аналітик,Розробка,19.07.2024,29531
Людмила,Парасюк,romanivanychuk@ukr.net,zFqHVuMQq3,+380 67 627-63-54,хутір Чоп,Аналітик,Розробка,15.06.2023,39918
Соломон,Харченко,xusyk@ukr.net,jyO2DsI36y,+380 67 134-10-31,селище Радивилів,Аналітик,Фінанси,04.08.2021,28242
Семен,Стець,zakhar08@yahoo.com,9D24KZzUD5,+380 95 284-62-68,місто Хуст,Аналітик,IT,11.10.2021,36895
Ганна,Єрченко,irvanetsnadiia@mail.ua,RflcmFt2$p,+380 93 361-35-10,селище Роздільна,Дизайнер,IT,14.07.2020,25792
Мирон,Василечко,ielysavetakovpak@gmail.com,b1ES5fgvvZ,+380 98 304-91-96,село Острог,Дизайнер,Розробка,18.07.2020,22988
Єлисей,Яценюк,ievhenishchak@ukr.net,4NmK7fWioV,+380 97 694-50-03,село Шептицький,Тестувальник,Фінанси,31.12.2020,41771
Устим,Удовиченко,szatula@yahoo.com,Id4n39yHoa,+380 66 646-57-97,хутір Новоукраїнка,HR,IT,03.10.2020,26108
Федір,Килимник,spushkar@i.ua,6fNk9gMgkg,+380 93 593-52-56,село Бобринець,HR,Маркетинг,08.12.2020,32710
Лукʼян,Матвієнко,yzhadan@ukr.net,AuiXFkgPmD,+380 50 320-01-42,селище Мостиська,Дизайнер,Фінанси,12.10.2024,42070
Леон,Туркало,lbaran@ukr.net,8qdaYzwRiV,+380 95 631-31-14,хутір Іловайськ,Аналітик,IT,08.09.2024,22520
Юстина,Чарниш,ybabarychenko@gmail.com,Hw4dvDF@TZ,+380 97 578-71-30,селище Бровари,Дизайнер,Продажі,24.07.2021,47254
Камілла,Вишняк,panteleimon23@mail.ua,dwIbApWEqI,+380 93 464-57-61,село Святогірськ,Аналітик,Продажі,26.07.2023,49587
Лариса,Панчук,eduard44@gmail.com,WIRknG0WrA,+380 99 835-55-00,місто Довжанськ,Розробник,Фінанси,10.06.2022,45367
Ігнат,Рудько,vitalii08@ukr.net,hfOyWP6sc$,+380 96 799-57-81,місто Мала Виска,Розробник,Продажі,24.09.2020,22344
Анжела,Гаврилюк,mykhailynaieresko@gmail.com,0XVp5eM62!,+380 66 284-26-67,селище Буськ,Тестувальник,Маркетинг,06.08.2023,29078
Олександр,Гайда,bohdannakovaliuk@meta.ua,757SRZFbIv,+380 66 645-30-68,село Дубровиця,Дизайнер,HR,09.05.2020,41803
Христина,Данькевич,kamillapryimak@outlook.com,ZL785d3f47,+380 73 261-70-46,село Луцьк,Менеджер,Фінанси,24.07.2022,23690
Ярослава,Єресько,priska23@ukr.net,6H4LytRYBt,+380 98 218-74-25,селище Сарни,Менеджер,Продажі,21.08.2022,39106
Пантелеймон,Фоменко,kyrylenkoamvrosii@gmail.com,q64fxIlY6p,+380 99 515-28-70,село Каховка,Менеджер,Продажі,14.07.2024,20932
Богданна,Теліженко,miroshnychenkoadam@mail.ua,Qpsk002D5L,+380 98 305-01-37,хутір Підгородне,HR,HR,06.12.2022,49062
Мирослав,Цюпа,trokhym98@yahoo.com,yHR8zC6VmO,+380 99 967-82-80,хутір Вовчанськ,Розробник,HR,23.07.2022,20277
Олена,Дергач,liza79@mail.ua,xeodhhLtl3,+380 93 316-12-01,хутір Бердянськ,Аналітик,Фінанси,31.08.2020,49185
Пармен,Яремків,hrytsenkozlatoslava@gmail.com,V7mqvf*5GJ,+380 98 458-13-26,село Сорокине,Розробник,Продажі,23.09.2020,29385
Герман,Годунок,hzabila@ukr.net,Wn0Dd1Zd0F,+380 73 695-92-95,місто Нове Давидково,Розробник,Продажі,26.06.2023,34302
Макар,Теліженко,mchubai@meta.ua,Zwxc7tNZGi,+380 73 837-81-86,село Бахмут,Тестувальник,IT,20.06.2024,18322
Ольга,Рубець,fivashchenko@gmail.com,JTYgfdUYjL,+380 97 606-88-82,село Старий Самбір,HR,HR,26.12.2019,25043
Альбіна,Наливайко,okseniia87@yahoo.com,FNcCryMPoY,+380 93 163-31-04,хутір Пирятин,Дизайнер,IT,20.08.2024,24568
Микита,Дробаха,zharkovira@outlook.com,QlM8TP1gx9,+380 50 287-08-70,село Великі Мости,Аналітик,Фінанси,25.02.2020,23900
Ярослав,Стельмах,ktsiutsiura@gmail.com,Y5jw3zv9bc,+380 66 222-70-18,хутір Нетішин,HR,Розробка,10.08.2023,17778
